depth,Att0,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,Att34,Att35
276.8906,0.988947,1.055876,1.021626,0.977051,1.080496,1.051364,1.060405,1.031041,1.05603,0.948981,0.980812,1.021206,1.00435,0.953407,1.000776,0.950658,0.963586,0.987023,0.889246,0.937091,0.999176,1.016707,1.038941,1.072951,1.060364,1.003802,1.06978,1.069004,1.019335,1.037922,0.995747,0.983557,1.110455,1.07349,1.083899,1.025623
276.9287,0.988947,1.055876,1.021626,0.977051,1.080496,1.051364,1.060405,1.031041,1.05603,0.948981,0.980812,1.021206,1.00435,0.953407,1.000776,0.950658,0.963586,0.987023,0.889246,0.937091,0.999176,1.016707,1.038941,1.072951,1.060364,1.003802,1.06978,1.069004,1.019335,1.037922,0.995747,0.983557,1.110455,1.07349,1.083899,1.025623
276.9668,0.909822,0.983147,1.013287,0.994437,1.010924,1.059229,1.09503,1.045762,1.012402,1.013737,1.108608,1.065872,0.964256,0.978092,1.018776,0.936842,0.968988,0.886231,0.912437,0.947724,1.054707,1.010176,1.002209,0.986138,1.017772,0.965523,1.014366,1.023904,0.97689,1.086019,1.034873,1.015421,1.04402,1.109159,0.926352,0.944255
277.0048,0.909822,0.983147,1.013287,0.994437,1.010924,1.059229,1.09503,1.045762,1.012402,1.013737,1.108608,1.065872,0.964256,0.978092,1.018776,0.936842,0.968988,0.886231,0.912437,0.947724,1.054707,1.010176,1.002209,0.986138,1.017772,0.965523,1.014366,1.023904,0.97689,1.086019,1.034873,1.015421,1.04402,1.109159,0.926352,0.944255
277.043,0.909822,0.983147,1.013287,0.994437,1.010924,1.059229,1.09503,1.045762,1.012402,1.013737,1.108608,1.065872,0.964256,0.978092,1.018776,0.936842,0.968988,0.886231,0.912437,0.947724,1.054707,1.010176,1.002209,0.986138,1.017772,0.965523,1.014366,1.023904,0.97689,1.086019,1.034873,1.015421,1.04402,1.109159,0.926352,0.944255
277.0811,0.937121,1.027232,1.008272,1.046888,1.062967,1.056244,1.082079,1.01195,0.958035,1.02712,1.016004,1.01078,1.038298,0.93657,0.88258,0.747109,0.740482,0.799139,0.898014,0.918351,1.033144,0.953077,0.972447,0.998824,0.998935,0.924701,1.009136,1.038373,1.040334,1.065521,1.072564,1.004097,1.142251,1.098725,1.059116,0.999466
277.1192,0.937121,1.027232,1.008272,1.046888,1.062967,1.056244,1.082079,1.01195,0.958035,1.02712,1.016004,1.01078,1.038298,0.93657,0.88258,0.747109,0.740482,0.799139,0.898014,0.918351,1.033144,0.953077,0.972447,0.998824,0.998935,0.924701,1.009136,1.038373,1.040334,1.065521,1.072564,1.004097,1.142251,1.098725,1.059116,0.999466
277.1572,0.968263,0.995316,1.008778,0.987176,1.032841,1.067578,1.152885,1.103091,1.042011,1.053372,1.015694,1.007912,1.010925,0.981035,0.991277,0.964085,1.035172,0.975067,0.941047,0.969117,0.981365,0.957887,0.91642,1.028764,0.998203,1.070034,1.02412,0.982229,0.998052,1.06927,1.019401,0.998776,1.07376,1.108992,1.097776,0.993634
277.1954,0.968263,0.995316,1.008778,0.987176,1.032841,1.067578,1.152885,1.103091,1.042011,1.053372,1.015694,1.007912,1.010925,0.981035,0.991277,0.964085,1.035172,0.975067,0.941047,0.969117,0.981365,0.957887,0.91642,1.028764,0.998203,1.070034,1.02412,0.982229,0.998052,1.06927,1.019401,0.998776,1.07376,1.108992,1.097776,0.993634
277.2335,0.968263,0.995316,1.008778,0.987176,1.032841,1.067578,1.152885,1.103091,1.042011,1.053372,1.015694,1.007912,1.010925,0.981035,0.991277,0.964085,1.035172,0.975067,0.941047,0.969117,0.981365,0.957887,0.91642,1.028764,0.998203,1.070034,1.02412,0.982229,0.998052,1.06927,1.019401,0.998776,1.07376,1.108992,1.097776,0.993634
